,No,Response
6493,6493,"Le véhicule de plus de 12 ans ça apporte +2500€ c'est ça ?j'ai oublié de signaler dans ma proposition, qu'on m'offrait les tapis de sol et l'accoudoir et qu'il y avait 0 euros de ""frais de préparation"" (chose rare, même si les facturer est en théorie illégal).ça reste des mensualités élevées si on tient compte que le bonus est utilisé comme première mensualité majorée… Mais bon, on le sait d'avance, c'est du à la VR au bout des 3 ans qui est catastrophique!Et encore, quand je vois la mienne (9800€ pour 37 mois et 60000km), et que je compare à ce qu'il y a sur le parc de VO, je leur souhaite bien du courrage… vont perdre du pognon!"
6494,6494,"2000€ la vehicule de plus de 12ans. Oui, la VR au bout de 3ans est cata, c'est en gros 8000€..."
6495,6495,Essai de la Zoé 110ch
6496,6496,
6497,6497,Renault investi plus d'un milliard d'euro dans ses usines françaises pour les véhicules électrifiés.Au programme:-Nouvelle génération de moteur électrique produit à Cléon en 2021-Triplement des capacités de productions des moteurs électrique à Cléon-Production à Ruitz de boites de vitesse électrifiés (Locobox)-Nouvelle plateforme électrique Alliance à Douai-Préparation de la nouvelle génération de Kangoo et Kangoo ZE à Maubeuge-Augmentation des capacités de production de ZOE et préparation de la prochaine ZOE et nouvelle plateforme (2019) pour Flins
6498,6498,
6499,6499,
6500,6500,
6501,6501,
6502,6502,
6503,6503,"Sérieux, 500€ par mois hors coût des recharges, ça fait peur. Je vais garder mon 4x4 TDV6 2.7L vieux de 10 ans."
6504,6504,
6505,6505,"Petite question assurance.Quel est l'intérêt de l'assurance perte Financière, par rapport à l'assurance ""valeur majorée"" d'un assureur, sachant que le premier loyer est constitué du Bonus, à tout moment la ""valeur majorée""(prix du véhicule sur bon de commande), est supérieur à ce qui reste du à l'organisme de location.Pour info, perte Fi 26€/mois, ""valeur majorée"" 26€/anOu alors l'assurance ""valeur majorée"" déduit également le bonus ???La conseillère de l'assurance m'a dit que non, mais sur un ton qui me laisse douter… je vais creuser."
6506,6506,"premier retour avec ma zoé édition one que j'ai reçu...hier !!!Tout d'abord même si on a chacun ses préférences je voulais UNIQUEMENT une Zoé pour pouvoir bénéficier de la location de batterie et donc avoir une batterie neuve...à vie !!!Concernant les fameux ""400km"", en effet l'indicateur à bord indique 300km...  Par contre ce ""300km"" semble fiable: aujourd'hui, 110 km dont 90% d'autoroute en mode ""éco"" donc à 95 km/h. résultat: 190km d'autonomie restante après 110 km...donc le compte est bon.L'écran ""mat"" du GPS n'est pas flatteur, se salit vite avec mes mains pleines de doigts et manque de visibilité pour moi. J'ai donc installé une protection d'écran que j'ai trouvé sur internet. Résultat superbe et les traces de doigts sont nettement moins visibles et s'enlèvent très facilement...donc parfait pour moi.Concernant l'intérêt de la voiture...il est pour moi indéniable. Je fais environ 25000 km par an à raison de 100 km par jour et 400 le week-end (2x200, je précise !!!)Je vais donc payer 119€/mois de location de batterie auquel j'ajoute environ 25€ d'électricité ce qui me fait 144 €. (je ne compte pas mes recharges gratuites au boulot et au supermarché...ni chez Renault)Avec ma voiture thermique, une Abarth, je dépensais pour faire la même chose 330 €...soit 186 € de gain mensuel et donc environ 2200€ de gain annuel.Je ne parle pas des gains de révision; sur ma voiture thermique c'est 250 € tous les 15000 km hors grosse révision (changement courroie de distribution tous les 6 ans...)Même si je perds énormément sur la revente de ma zoé dans 10 ans (avec une batterie neuve...pourquoi la revendre ???), en 10 ans j'aurai economisé plus de 22000€ pour une voiture qui m'aura couté...21000€...donc j'aurai ""gagné"" de l'argent.Par contre ce qui est sur c'est que pour rentabiliser une voiture électrique...il faut rouler...et bien rouler même...(la Zoé en finition ""édition one"" le permet !)mais à condition de pouvoir compter sur une batterie tout au long de la vie de la voiture: ce n'est malheureusement pas le cas des autres véhicules électrique sur lesquels pour la plupart la batterie n'est pas changeable !!!  D'ailleurs ce week-end l'aventure commence: aller retour entre l'Occitanie et la grande Aquitaine...plus de 600km aller/retour...l'aventure commence... "
6507,6507,Sympa ce retour 
6508,6508,
6509,6509,"Vu ce WE,la Zoé Star Wars,belle présentation,me suis pas attardé,car actuellement,ma Laguna alcoolisée me convient amplement pour le moment"
6510,6510,
6511,6511,
6512,6512,
6513,6513,"Aujourd'hui, premier test de recharge à l'extérieur...J'ai profité de mon arrêt au Lidl ou je me suis arrêté pour faire quelques courses pour tester.Ce supermarché flambant neuf possède 1 borne de recharge double avec la possibilité de brancher soit une type 2 soit une prise domestique.J'ai évidemment tenté la type 2 que je n'avais pas encore testé.Et la...surprise...: en 15 minutes d'arrêt j'avais récupèré 40 km d'autonomie...elle débite cette borne...c'est une 22Kwh et en plus elle est gratuite et ne nécessite pas de carte particulière. On se branche et ça charge...c'est même trop facile !!!Bon, évidement elle ne fonctionne que pendant les heures d'ouvertures...et pendant un temps limité (je crois que c'est 30')Je crois que le VE me plait bien... "
6514,6514,
6515,6515,Reprise du message précédent :
6516,6516,"Mon histoire avec la Zoe commence mal… Pas encore livré, déjà des emmerdes!Avant de signer je demande au vendeur si il y a des précautions à prendre sur mon installation électrique, réponse: non, il ne connait personne qui n'ait pu charger sa Zoe.Je commande, Proxiserv appelle pendant mes vacances, laisse un numéro de tph avec numéro de dossier à fournir.Je rentre, les appelle, 3 X on me dit qu'on va me rappeler sans le faire, la 4ème fois j'ai quelqu'un qui me fixe un rdv… plus d'un mois après, le 22 juin.Prévoyant, quand Renault appelle pour fixer le rdv de livraison début juin, je dis niet, pas avant l'installation de la prise green up, donc rdv pris lundi 25 juin22 13h30 Proxiserv arrive, test ma terre… 180 ohm impossible d'installer ça ne chargera pas…Solution de rechange, faire installer à notre adresse pro… 110 ohm idem il faut moins de 100 sinon message d'erreur et ça ne chargera pas!Le gars me dit d'essayer avec une Zoe pour voir si elles sont plus tolérante et si la charge sur prise domestique fonctionne… ou pas.Coup de fil à un électricien: me demande mes coordonnées et doit rappeler ce soir ou demain pour passer semaine prochaine…Coup de fil chez Renault, j'essaye de voir si peuvent prêter en urgence une Zoé pour tester la prise… je poirote 10 minutes au téléphone, on me promet de rappeler… c'était il y a une heure… toujours rien.J'ai laissé un message sur portable du chef des ventes… rappelle pas.Mon vendeur… sur messagerie car en congé.Tout ça commence sérieusement à me gonfler!elle est assurée, changement de véhicule assuré prévu lundi, rdv pare brise lundi matin avant restitution… et on est vendredi.sur mes 3 coups de fil, je prévois zéro réponses d'ici ce soir."
6517,6517,"Pour ta terre, 180ohm, c'est beaucoup trop voir dangereux chez toi (lors d'un defaut sur ta machine à laver dans ta salle de bains, environnement humide, pieds nus et si tu es fatigué, ton corps va faire 1000ohm ca veut dire 40V de tension dans ta main, ça peut piquer sévere). Tu es très limite même en cas normal.Il faudrait que tu modifies ta terre, le mieux est d'installer un piquet de terre en parallèle (et c'est pas proxiserve, il faut un électricien). Comment est ta terre, enterrée ? As-tu un vide sanitaire ?En tout cas, ça me fait peur car je ne connais pas l'installation de ma maison, j'espère que j'aurai pas le même problème que toi (après j'ai un plan B = Renault à 100m de mon boulot, plan C = mon boulot) mais je ne compte pas dessus"
6518,6518,
6519,6519,J'ai eu le même problème de terre. Pose d'une nouvelle terre avec deux piqués. Je suis redescendu à 30 ohms.Ils y connaissent rien en électricité les vendeurs. Il faut aller sur les forums spécialisés VE avant pour voir les pièges.
6520,6520,"En effet, ce problème de « prise de terre », je ne l’ai découvert moi aussi qu’en me rendant sur les forums de voitures électriques.Il faut dire qu’en effet on est pas sensibilisé à ce soucis alors qu’on vit entouré d’électricité....Personnellement j’ai attendu ma voiture 6 mois et une fois immatriculée par Renault j’ai encore attendu 1 mois pour enfin pouvoir m’assoir dedans donc j’ai eu le temps de prévoir.Et je ne suis pas passé par Renault pour faire installer ma green’up...le fait qu’ils « offraient » ce branchement ne m’a pas incité à passer par eux...en effet j’avais cru comprendre que c’était parfois le parcours du combattant.J’ai trouvé dans mon coin un spécialiste de ce genre d’installation et même si j’ai du débourser quelques euros en plus ce n’est pas un souci ...ma tranquillité, je l’ai payée...et j’en suis très content aujourd’hui..."
6521,6521,"Bonjour a tous,J'ais un grand besoin d'aide Svp.  Je suis en plein doute et complétement perdu.Voila, dans 2-3 mois je dois m’acheter une nouvelle voiture, et j'hésite entre 3 prétendante, et voiture très différentes, La Zoé, Twingo 2 Phase 2 diesel, et Ypsilon diesel. budget 6000-7000 euros Maxhttps://occasion.renault.fr/ve [...] tOrder=ASCJ'ai une grande préférence pour la Zoé, mais je n'arrive pas a calculé si elle me coutera plus cher ou moins cher a l'usage.En gros actuellement j'ais une twingo 2 phase 1, Je met 110 euros par mois. Ma compagne la conserve pour nos long trajet.J'ai besoin d'une voiture agréable pour faire 60 km aller retour pour allez au travail , 26 km de national ligne droite a 80 km/h et une section de 4 km a 130Km/h.Annuellement je fait environ 14 500 km. Forfait a 99 euros/ ans je crois.Du coup je dois faire le plein électrique a la maison tout les 2 jours.Mais je n'arrive pas a savoir combien vas me couter en énergie la Zoé par mois?Et vraiment merci au courageux qui me répondrons ^^."
6522,6522,"Je crois que c'est 2€/100km pour la recharge de la Zoé, donc dans ton cas environ 24€/mois"
6523,6523,"On m’a prêté une Zoe samedi matin, du coup j’ai pu tester la recharge.Bonne nouvelle malgré mes 110 et 180 ohm, ça charge!Contrairement à ce que raconte ProxiservJe vais donc pouvoir relancer la livraison"
6524,6524,
6525,6525,
6526,6526,
6527,6527,
6528,6528,
6529,6529,C'est super dangereux de rouler à 90 sur autoroute 
6530,6530,
6531,6531,"En hiver, ton autonomie descendra un petit peu (à prendre en compte pour tes trajets du WE  )"
6532,6532,
6533,6533,
6534,6534,"Cool on m'a preté une Zoe c'est marrant, on se croirait dans une soucoupe volante, n'empeche en ville c'est genial ce truc."
6535,6535,
6536,6536,"Être tolérant c’est accepter que tout le monde ne roule pas à sa vitesse, non ?L’autoroute c’est 130 maxi et 80 mini si je me souviens bien. Entre les 2 laissons la liberté à chacun...et soyons « zen » en électrique"
6537,6537,
6538,6538,
6539,6539,
6540,6540,
6541,6541,"ça y est, voiture livrée !Pour rappel R90 Intens noire sans options.Après 12 km  les +:-jolie-sympa à conduire (j'adore)-autonomie: je pars avec 299 en capacité, après 12.5 km il me reste 289, sans mode éco et avec clim'-elle charge malgré mes + de 100 ohm au niveau de la terreles -:-avec le R Link on recule d'une génération par rapport à notre X1, j'ai essayé de demander un truc avec la voix, je vais laisser tomber-finition vraiment très légère: ma femme a ""fini"" de poser la moquette du coffre, plastics creux partout, on dirait du DaciaBon pas grave si ça tient bien dans le tempsLes +-: personne très sympa pour la prise en main, mais pas au fait de toutes les subtilités, par exemple, c'est moi qui lui ait dit qu'on pouvait programmer la charge et trouvé où c'était.Pas de porte clé, goodies ou autre bouteille de champagne dans le coffre…C'est du détail, mais quelle différence de service par rapport à BMW (c'est encore frais j'ai été livré il y a 8 mois)… Même chez Dacia mon neveu a eu une bouteille dans le coffre.Je verrai avec mon pote de chez Renault si c'est dans les standards de la marque ou un oubli."
6542,6542,pas de champagne...mais le plein d'électricité fait...c'est appréciable !!!Sur mon dernier X1 c'était une bouteille de champagne...mais réservoir vide...  A choisir je préfère en définitive sans le champagne !!! 
6543,6543,
6544,6544,
6545,6545,"Je confirme avoir découvert sur mon trajet pas mal de bornes de recharges non répertoriées sur Chargemap.J’ai même découvert des bornes de recharge Leclerc, pourtant pas récente, non répertorié sur l’application « la borne » du distributeur..."
6546,6546,
6547,6547,"Mes soucis de terre sont terminés, une histoire de fou !Maison:l'électricien arrive, mesure la terre sur la même prise que le technicien Proxiserve: 32 ohm …Il va au tableau, défait la terre… mesure 190 ohm, rebranche la terre… mesure 180 ohm… là ça se complique.Mesure directement sur le fil de terre: 32 ohm… donc OKA du défaire tous les boitiers intermédiaires, à chaque fois gros bordel avec des fils mal fixés dans le dominos, a tout refixé, resserré au niveau des tableaux (ben oui y en a un secondaire)Au final 32 ohm partout dans la maison.Au passage il s'est rendu compte que la partie du tableau correspondant à la dernière partie rénovée de la maison… n'était pas branchée à la terre, il a rajouté 15 cm de câble et s'est fait.Pro:Lui a mesuré un peu moins de 100, en fait terre merdique, l'électricien qui a fait les travaux s'était juste fixé sur l'ancienne terre sans se poser trop de question… Il a retiré une seconde terre, on est à 17 ohmConclusion(s) de tout ça:Si le technicien de Proxiserve avait mesuré au tableau et non sur une prise, il aurait pu installer la borne… Pensez-y si jamais chez vous aussi ça coince.Ca nous a permis de nous rendre compte des défauts de notre installation…. et de les corrigerToujours se méfier des bricoleurs du dimanche qui font tout eux même/avec des potes avec du matos à vil prix… rétrospectivement tout ça fait froid dans le dosY a plus qu'à faire installer les bornes"
6548,6548,"Borne EVlink 7 kW installée à la maison, ça change quand même la donne.Dimanche dernier on a fait plus de 130 km, sur prise domestique ça annonce plus de 16h de charge…. ce qui signifie que ça ne se rechargerait pas en une nuit HC (23h30 7h30), et qu'on aurait pas trop intérêt à cumuler les journées de plus de 60 km.Là on a chargé de 59 à 100% en 3 heures et 2 minutes… en gros on va pouvoir rouler sereinement car les 100% sont rechargeables grosso modo en 7h30.A mon avis c'est ""indispensable"" si on ne veut pas avoir à charger en HPMe reste à organiser mon planning pour aller charger chez Auchan/Leclerc"
6549,6549,Essai de la ZOE autonome à Rouen
6550,6550,
6551,6551,Reprise du message précédent :
6552,6552,Tu crois vraiment que tu choisis l'électricité qui arrive à ton domicile?Faudra qu'on m'explique techniquement comment ce serait possible.
6553,6553,"Non, il va consommer la même que les autres.Ce genre de contrat veut dire que l'opérateur s'engage à renvoyer dans le réseau, ta quantité de consommation, en énergie renouvelable.Mais vu que cette énergie est infime par rapport à la quantité d'énergie du réseau; tu consommes de l'électricité nucléaire, comme tout le monde !"
6554,6554,"Effectivement, tu ne choisis pas les électrons qui rentrent et qui sortent.Il faut savoir qu'il y a les producteurs d'un côté (EDF, les producteurs indépendants type CNR, Eoliennes, etc), le transporteur (RTE), le distributeur (Enedis) et l'interface commerciale client (EDF, Ilek, Direct Energie...)Le réseau étant maillé pour une grosse continuité de service, tu ne choisis pas ton électron.Quand tu achète 1kWh d'électricité à Ilek, il va l'acheter au producteur Ilek 100% vert. Quand tu achètes 1kWh à EDF, il se l'achète à EDF qui produit son énergie à 77% de nucléaire. Quand tu l'achètes à Direct Energie, il va l'acheter à un producteur tiers, ça peut être EDF ou autre (Direct Energie est juste un intermédiaire, il ne produise pas, c'est du green washing...). Sauf que EDF le producteur vend aussi son énergie verte à d'autres : Direct Energie, ENGIE sur un contrat 100% vert. Ce qui fait qu'en étant chez EDF le vendeur, en ce moment, tu achètes de l'électricité avec une part de nucléaire qui monte (alors qu'il n'y a pas de centrale supplémentaire).Tout ça pour dire quoi: si les clients souscrivez à des offres vertes, même chez EDF le vendeur, EDF le producteur ne pourrait plus vendre son énergie nucléaire et se verrait obligé d'installer énormément de capacité verte (c'est ce qu'il fait). Changer l'offre par la demande client."
6555,6555,"C'est bien ce que j'avais compris et comme ça que je l'entendais.Donc moi, je garde mon contrat ""nucléaire""... j'ai envie de pouvoir continuer à rouler la nuit par absence de vent "
6556,6556,""" j'ai envie de pouvoir continuer à rouler la nuit par absence de vent""Ton commentaire serait vrai en cas de charge dynamique. Aujourd'hui, tu charges à un instant T et tu roules en différé, donc rien à voir.Néanmoins, ta remarque, bien que de mauvaise foi ^^, j'y réponds.Un réseau 100% vert est possible. Tu hybrides le réseau avec des batteries pour le vent et le soleil (cf Elon Musk) mais aussi de l'hydroélectricité (ce qui est déjà fait d'ailleurs avec de l'eau qui est remonté au niveau des barrages si besoin).Aujourd'hui, les éoliennes tournent aussi en moteur de temps en temps pour consommer les surplus d'énergie délivrés par les centrales nucléaires (à cause de leur constante de temps élevée)... Le réseau est loin d'être optimisé avec de grosses centrales de production peu verte (déchets, gaz à effet de serre pour les thermiques) loin des consommateurs. D'ailleurs, tu vas me dire la biomasse, c'est vert mais ça rejette des gaz à effets de serre. Tu as raison, mais si ce qui sert à faire la biomasse était laissé à l'air libre, ça voudrait dire que la biomasse serait directement rejeté dans l'air. La brûler pour en faire de l'électricité est donc meilleur.Bref, vaste débat ^^. Tout ça pour dire:- je ne fais pas de leçon à personne, libre à chacun de choisir son fournisseur- juste que j'ai déjà entendu cet argument de ""tu roules au nucléaire"" avec tout un tas de commentaires désagréables ""genre c'est vert ta voiture ?"", ""et les batteries, ça pollue !""- donc mon choix a été de prendre un fournisseur/producteur vert dont les bénéfices qu'il va tirer servira à installer de nouvelles installations vertes"
6557,6557,"j'ai récupéré ma Zoe d'occasion il y a 1 semaine, pour l'instant que des bonnes surprises:- autonomie un peut plus de 130km en ville, en mode eco mais sans trop faire attention a rouler doucement, avec climatisation et chauffage- sur nationale c'est proche de 160km en roulant au vitesses légales au cruise control (aller retour de 82 km pour 49% de batterie)- j'ai mis le 3eme appui tète (les pièces coûtent 80 euros environs)- j'ai commande des tapis sur mesure sur internet, j'attends de voir le résultat une fois reçus"
6558,6558,J'ai trouvé cette copie d'un magazine italien avec plein d'infos et mesures techniques sur la ZoeVoir l'image en grand0 votes1 vote0 vote0 votes1 vote0 vote
6559,6559,
6560,6560,
6561,6561,
6562,6562,"Oui mais tu fais pas gaffe quand tu l'essayes. Et la liste des équipements, tu regardes ce que tu as, pas ce que tu as pas."
6563,6563,
6564,6564,Nouvelle série limitée Iconic
6565,6565,Pourquoi sur toutes les photos il y a que le logo Renault ?
6566,6566,J'adore les jantes !!
6567,6567,"Salut, petite question : est-il possible de désactiver le bruit de soucoupe volante de la voiture? (j'ai fait une course taxi en zoé hier j'ai adoré!  )"
6568,6568,"En effet, il est possible de le désactiver mais uniquement de façon temporaire: à chaque nouvelle remise en route de la voiture il se réactive automatiquement.Mais est-ce vraiment gênant ? Il ne fonctionne que en dessous de 30 km/h pour avertir les piétons...  Le bouton se trouve à proximité de celui pour ouvrir la trappe de recharge."
6569,6569,
6570,6570,"ha! je n'ai jamais essayé, la prochaine fois que j'en conduis une, je teste "
6571,6571,
6572,6572,ah je trouve pas ça gênant du tout (je n'ai pas de zoé je précise) c'était par pure curiosité que je posais la question!il est même très bien fait ce son!
6573,6573,https://www.lexpress.fr/actual [...] 43416.html
6574,6574,"Clairement j'ai pris le bruiteur sur ma smart. (en option comme la plupart des trucs chez smart) . Mais hélas ce n'est pas encore suffisant. (Mais c'est mieux que rien). Il faut être super vigilant.Autre technique Musique à tue-tête fenêtre ouverte, mais c'est chiant en hiver  Celui de la Zoé est vraiment efficace. On entend bien la voiture."
6575,6575,Comment fait-on pour choisir un bruit plutôt que l'autre ?
6576,6576,génial ! en accélérationhttps://soundcloud.com/renault​ze
6577,6577,https://www.lci.fr/automobile/ [...] 00493.html
6578,6578,ils auraient pu cité la Zoé bordel! Ils parlent de trucs dans la futur alors qu'elle a déjà cette fonctionnalité !
6579,6579,https://www.leblogauto.com/201 [...] rique.htmlun SUV électrique cher renault en 2022?
6580,6580,"Ce n'est pas la première fois que Ghosn en parle, Nissan se penche aussi sur la question."
6581,6581,"Ce qui est dingue, c'est que Renault a été précurseur dans l'électrique maintenant ils vont être à la bourre sur les concurrents."
6582,6582,"voiture electrique risque de bombe a savoirPar exemple, lorsque Renault annonce pour la ZE40, 400 Km d'autonomie, ce n'est pas faux car il précise ""dans les conditions du test NEDC"".Simplement il ""omet"" de rappeler au client que ce test est parfaitement fantaisiste, et qu'il est d'ailleurs abandonné par les constructeurs au profit d'un autre, WLTP, beaucoup plus sévère.L'autonomie selon WLTP est bien sûr ""oubliée"".Il faut donc s'attendre au même genre de biais pour les batteries.Les batteries au Lithium, encore plus que les autres, doivent absolument éviter la surcharge comme la décharge excessive.Une excursion dans la zone de décharge excessive entraîne la destruction de l’élément. Une excursion dans la zone de surcharge entraîne un échauffement excessif qui, s’il n’est pas immédiatement interrompu, provoque un dégagement de gaz inflammables qui peut être à l’origine d’un incendie et/ou d’une explosion.S’il est « relativement » simple de contrôler le respect de ces limites sur une seule cellule, cela devient un exercice plus complexe sur une batterie de voiture qui peut en comporter un très grand nombre.Le minimum étant 108 cellules de 3,7 V en série, pour obtenir 400V, le maximum actuellement connu étant 7 028 , sur la Tesla, soit 65 x 108 .Pour chacun des éléments de la batterie, les limites max et min à ne pas franchir dépendent de la dispersion de fabrication entre cellules, des différences de température entre zones liées aux conditions de refroidissement variables du pack, du vieillissement de l’élément, etc.En sorte que, pour éviter les zones dangereuses, les fabricants prennent des marges se sécurité parfois importantes.Ces marges étant appliquées en pratique par le BMS (Battery Management System).L’usager aura alors accès à une partie seulement de la capacité théorique de la batterie ( La différence peut être significative selon l’origine de l’objet).Une batterie peut ainsi être « vendue » pour 30 KWh et n’en faire en réalité que 25 « utilisables » , voire moins.On parle de ""capacité effective"", celle qui sera utile à l'usager.D’autres facteurs affectent la capacité effective, comme la température, le mode de charge, le régime de décharge, le vieillissement calendaire, le vieillissement par cyclage, et bien sûr les conditions environnementales, etc.________________La charge de la batterie.La charge d'une batterie au Lithium s'effectue en deux temps:Une première partie à courant constant, au cours de laquelle la batterie va emmagasiner l'essentiel de sa charge, environ 80%.Le reste de la charge s'effectue à ""tension constante"" avec un courant qui va diminuer lorsqu'on entre dans la zone de fin de charge.La charge est considérée comme terminée lorsque la valeur du courant est tombée en-dessous d'une certain seuil, ou lorsque la tension a atteint la valeur limite de 4,2V.La première phase peut s'effectuer à fort courant, selon les indications du fabricant.Certaines batteries supporteront le mode ""charge rapide"" et accepteront un courant de première phase jusqu'à 2C, 3C, peut-être davantage.Le temps pour charger une batterie à 80% sera de1 heure avec un courant de 1C.30 minutes avec un courant de 2C.…….15 minutes avec un courant de 4C.(Sur une grosse batterie, un courant de 4C peut friser les 500 A …).La deuxième phase de la charge est beaucoup plus lente car on entre dans une zone d'échauffement et d'élévation de la tension, qu'il faut surveiller de très près. La limite de 4,2V ne doit pas être dépassée sous peine d'entrer dans la zone de risque d'emballement thermique.Cette phase peut durer une heure ou deux, ou davantage selon la batterie évidemment.Les bornes de charge rapide disposées le long des voies ne s'occupent que de la première phase, et ne délivrent donc que 80% de la capacité maximale, et pas plus.Il faut donc en tenir compte dans l'évaluation de l'autonomie.(On imagine assez mal un client restant deux heures « accroché » à une borne rapide pour récupérer les 20% de charge restante, alors que d’autres clients attendent que la place soit libérée…).Lorsqu'une batterie est connectée à une borne, un dialogue s'établit entre la borne et le BMS du véhicule, et la connexion n'est validée que si les conditions de part et d'autre sont satisfaisantes.Les 20% de charge complémentaire ( Deuxième phase) pourront être obtenus à la maison sur une borne domestique, en quelques heures, ou dehors sur une borne publique classique."
6583,6583,"Ok donc un extrait d'un billet d'un blog, posté par un anonyme, sans cité la moindre source, un article putaclic et partiellement faux"
6584,6584,En plus d'être illisible.Next.
6585,6585,"où le vrai cotoie le faux...le b-a ba de la désinformation..."" Tout ce qui est excessif est insignifiant. "", Talleyrandnext... "
6586,6586,
6587,6587,Reprise du message précédent :
6588,6588,"Risque d'explosion inexistant avec les batteries ""solides"" qui sortiront d'ici 5 ans, 800km d'autonomie et rechargée en 2min. Aujourd'hui nous sommes au stade de la préhistoire au niveau des batteries, dans quelques années, avec l'évolution des technos, tout le monde roulera en électrique."
6589,6589,Des news des batteries révolutionnaires au graphène? (les fameuses qui permettent 800km d'autonomie en 2 minutes!)
6590,6590,
6591,6591,
6592,6592,"On s'en fout de faire le plein de 800 km en 2 minutes franchement.Je ne sais pas vous mais moi quand je m'arrête, ce n'est pas juste pour 2 minutes, généralement c'est pour un petit café, visite des toilettes, dégourdissage de jambe, bref mini 15/20 minutes et si il y a un repas c'est plutôt 30/45 minutes.Et on s'arrête tous les combien? En théorie 2 heures, beaucoup font plus ceci dit.Bref le jour où on pourra récupérer 300 km en 15/20 minutes, ce sera très très bien.Le jour où on récupérera 500 km d'autonomie le temps d'une pause repas de 45 minutes, on pourra réellement traverser les pays sans se poser de question…. à condition d'avoir des bornes de recharge !Ce qu'il faut, c'est trouver le bon compromis:-quelle autonomie réelle faut-il pour rouler tranquille?-quelle est la vitesse de charge idéale permettant de recharger suffisamment vite sans que ça coute un bras?Franchement, si je prends mon cas perso, avec 500/600 km d'autonomie réelle (par exemple à 130 sur autoroute) + possibilité de recharger disons 100 km / 15 minutes ce serait parfait et ça couvrirait quasi 100% de mes besoins."
6593,6593,"Très bonne analyse de ce qu'il faut atteindre.Avec 70-80 kwh de batterie et un véhicule efficient. C'est à dire pas un SUV, ni un truc de 2,5 tonnes premium, il y a moyen. Reste la recharge (Vitesse et infrastructures) et un prix pas trop déconnant."
6594,6594,Suis d'accord!
6595,6595,Pour la recharge pour le moment Ionity est le plus intéressent financièrement.
6596,6596,Réseau en construction mais prometteur.
6597,6597,
6598,6598,
6599,6599,"On est d''accord, mais bon, je prends un peu de marge là aussi. 3*115km, ca fait loin de faire 400km"
6600,6600,C'était pour un calcul plus juste et favorable.
6601,6601,"Est-ce que quelqu'un est capable de donner le bilan carbone de la fabrication et du recyclage des batteries? parce qu'on trouve peu de choses là-dessus. Or il faut une énergie énorme pour fabriquer des batteries, on ne tient jamais compte de ça!Ok pour ""purifier"" les centre-ville, mais au niveau de la planète, je suis pas du tout certain que ce soit écologique...sans parler de la production d'électricité... personne ne veut de nouvelles centrales nucléaires donc il va y avoir un petit problème sachant qu'on n'a déjà pas trop de marges  je veux bien des points de vue éclairés sur la question! je me trompe peut-être !"
6602,6602,Pour la production d'électricité y'a de la marge la nuit 
6603,6603,
6604,6604,
6605,6605,
6606,6606,"J'ai lu quelque part que les ingénieurs travaillent sur des sortes de boîtes de vitesses pour moteur électrique.Peut être une solution aussi car si à haute vitesse on arrive à faire tourner le moteur moins vite, on va gagner en conso"
6607,6607,
6608,6608,https://www.caradisiac.com/ren [...] 171702.htmZoé 2 ou gros facelift?
6609,6609,
6610,6610,
6611,6611,"Désolé, je savais pas qu'il y avait un topic dédié"
6612,6612,Renault Zoé - Mondial de Paris 2018 - 7 Octobre 2018Voir l'image en grand0 votes1 vote0 vote0 votes1 vote0 vote
6613,6613,Renault Zoé - Mondial de Paris 2018 - 7 Octobre 2018Voir l'image en grand0 votes1 vote0 vote0 votes1 vote0 voteVoir l'image en grand0 votes1 vote0 vote0 votes1 vote0 vote
6614,6614,"La ZOE, moi je suis à fond POUR !!!...... que les autres l'achète...Dans quelques années peut-être..... (ou décennies ?)... quand ça sera utilisable au même titre qu'un thermique... (et si pas de taxe ""nucléaire inside"" )"
6615,6615,ça prétend pas remplacer un break mégane diesel dans l'usage 
6616,6616,
6617,6617,"ahah exact!perso je suis pas un fondu de l'électrique, c'est juste pour moi une astuce pour déplacer le problème environnemental. Pas pour le résoudre."
6618,6618,"pour moi il n'y a pas de ""combat"" thermique vs électrique !!!!  Juste une option possible pour commencer à diminuer l'émission de gaz provoquant l'augmentation de l'effet de serre lié à l'utilisation des énergies fossile.Ce n'est peut-être pas ""LA"" solution...mais ""une"" solution.Y participer c'est essayer de voir si cette possibilité peu devenir un futur possible.Depuis 5 mois en zoé j'ai économisé l'équivalent de 11000 km en essence (660 litres) en re-chargeant sur des bornes fournissant de l'électricité en provenance d'énergie renouvelable...c'est une goute d'eau, mais à plusieurs on peut espérer économiser plus...D'autan que je me souviens d'un chiffre que l'on m'avait fourni il y a quelques années et qui disait qu'il faut 2 kWh pour fabriquer 1 litre d'essence; et avec 2 kWh je parcours 13 km en électrique ! "
6619,6619,
6620,6620,
6621,6621,
6622,6622,
6623,6623,Reprise du message précédent :
6624,6624,
6625,6625,Ce qui la place au même niveau tarifaire qu'un Kona 39kWh
6626,6626,Renault Zoé - Mondial de Paris 2018 - 7 Octobre 2018Voir l'image en grand0 votes1 vote0 vote0 votes1 vote0 vote
6627,6627,
6628,6628,
6629,6629,
6630,6630,
6631,6631,et l'i3 c'est pas le même gabarit ?!
6632,6632,
6633,6633,
6634,6634,
